"","date","松山機場","中山國中","南京復興","忠孝復興","大安","科技大樓","六張犁","麟光","辛亥","萬芳醫院","萬芳社區","木柵","動物園","大直","劍南路","西湖","港墘","文德","內湖","大湖公園","葫洲","東湖","南港軟體園區","南港展覽館","小碧潭","新店","新店區公所","七張","大坪林","景美","萬隆","公館","台電大樓","古亭","中正紀念堂","小南門","頂溪","永安市場","景安","南勢角","台大醫院","台北車站","中山","雙連","民權西路","圓山","劍潭","士林","芝山","明德","石牌","唭哩岸","奇岩","北投","新北投","復興崗","忠義","關渡","竹圍","紅樹林","淡水","頂埔","永寧","土城","海山","亞東醫院","府中","板橋","新埔","江子翠","龍山寺","西門","善導寺","忠孝新生","忠孝敦化","國父紀念館","市政府","永春","後山埤","昆陽","南港","象山","台北101/世貿","信義安和","大安森林公園","北門","松江南京","台北小巨蛋","南京三民","松山","輔大","新莊","頭前庄","先嗇宮","三重","菜寮","台北橋","大橋頭","中山國小","行天宮","東門","蘆洲","三民高中","徐匯中學","三和國中","三重國小","迴龍","丹鳳","NA"
"11",2015-12-11,6611,17956,38180,55285,26343,17109,12898,4458,3375,18017,2694,4939,9311,11817,12033,18254,16409,6615,8724,3484,9309,9153,4612,33963,2449,13165,12605,17956,23705,18839,10524,35532,22006,36112,31922,9474,38139,28154,27884,22919,24680,180139,39786,23499,28739,29544,43266,34051,25439,14346,34045,8578,10106,19804,8459,3790,3074,14650,10556,8831,46696,6987,12541,7429,22448,22589,32189,47053,46430,26919,30982,76588,24255,35007,44256,23629,67842,22548,19068,16609,14497,11697,34231,17540,7913,7890,38371,29023,22257,23723,14910,11743,5503,4599,4754,10090,9252,15520,18277,28867,25483,13148,13197,12642,12794,12487,10285,9646,NA
"12",2015-12-12,4900,12883,25318,59654,19153,13039,10355,3882,2919,13107,2062,3649,10826,8924,13310,7015,7795,4957,8595,3116,7699,7698,2063,25209,2888,12439,11027,16888,18776,18360,9935,47189,24136,31734,30085,5840,36321,25454,24329,21881,17788,205261,41913,22663,21636,31650,45686,32606,23501,10818,30268,7131,7839,17925,11778,3531,2299,9558,9986,6679,47572,6406,12825,7184,20280,17880,34518,67365,42822,24523,32884,93791,18152,35146,46225,21102,69852,17837,16573,11226,9745,9954,35678,13860,10786,6349,22573,22866,16652,21030,11290,11035,5669,2605,6104,8929,9596,13093,14101,21949,25685,12193,11957,12713,11600,12122,8832,9072,NA
"13",2015-12-13,5005,10506,19856,47886,13795,10364,7795,3587,2426,8464,2108,3451,15275,6726,11626,5375,6484,3724,6940,3938,5756,6399,1828,19872,2288,12544,9033,13033,15224,15735,8307,40774,18676,23952,23952,4117,29780,21285,20558,19150,13381,205137,33844,14818,20319,30399,38967,27167,23524,9126,24888,6045,6122,15484,10094,2996,1691,8417,11244,6137,53530,5947,11667,6417,17336,14734,28439,55351,34564,20394,28412,80065,14848,27574,34760,17962,59896,14325,13885,9540,8521,9820,31475,11108,11288,5289,16510,18001,13817,17227,8595,9396,4390,2285,3475,8149,7699,11575,11704,17547,22157,10221,10294,10233,10143,10119,7480,7639,NA
"14",2015-12-14,5691,16306,34697,45564,25181,15479,11775,4092,3131,15142,2522,4686,6480,10278,10437,16905,15442,5832,8035,3339,8298,8301,4567,29044,2172,12389,11355,16081,20474,16858,9388,28016,17713,32283,28510,8916,35203,25820,25888,22381,23877,151746,34029,21958,26169,24116,35555,29094,22726,13617,30806,7905,9243,17736,7162,3436,2741,13136,9996,7674,40373,6661,11330,6899,20831,21166,28988,39549,42697,24870,27976,65462,21279,30741,37373,20408,58384,20354,17648,14998,12838,11062,27568,15793,7196,7052,35853,20850,20437,21029,12557,10665,5029,4244,4286,9344,8380,13267,16837,25852,22358,12710,12158,11403,12309,11708,8961,8783,NA
"15",2015-12-15,5508,16762,36235,47093,25457,16145,12001,4200,3325,15592,2462,4608,7528,10730,11165,17659,16080,5924,8010,3209,8701,8406,4564,29276,2220,12141,11452,16127,21788,16512,9603,28907,18606,33497,29899,9504,35615,26528,25905,21462,24922,141961,34826,22252,26856,25751,36749,29572,23649,13814,31643,7922,9603,18158,7707,3465,2834,13724,9881,7618,37773,6613,11484,6671,21084,21623,28947,38302,43115,25629,27724,64016,22767,31441,38289,20852,58402,20912,17652,15366,13320,11116,26971,16153,7041,7105,37066,21933,20755,20874,13267,10577,4996,4418,4366,9478,8530,13146,16978,26013,23082,12351,12383,11622,12207,11669,9071,8625,NA
"16",2015-12-16,5526,16965,37084,48432,25909,16252,12204,4250,3303,15496,2435,4686,6909,10877,11224,17951,16140,5830,8109,3109,8551,8344,4444,29330,2191,11999,11329,16489,22266,16836,9521,29915,19013,34083,30146,9589,35530,26661,26206,21515,25001,141468,36142,22058,26479,25293,37578,29972,24493,13757,31874,7870,9341,17848,7566,3553,2855,13632,9809,7596,36252,6551,11376,6936,20854,21770,29121,38589,43432,25869,27820,66153,23878,31992,39336,21110,57356,21490,17599,15581,13080,11182,26934,16555,7113,7373,37650,19473,20978,21259,13115,10796,5085,4465,4479,9511,8477,13087,17413,26630,23190,12350,12413,11800,12346,11885,9083,8822,NA
"17",2015-12-17,5954,17274,37922,51597,26060,16389,12492,4174,3316,15573,2442,4669,6730,11172,11414,17869,16223,5855,8078,3092,8614,8401,4591,29624,2275,11902,11560,16394,21987,16951,9749,30170,19383,34241,30853,9572,36099,26704,26256,21585,24744,143985,38720,21837,26769,25877,37464,30041,24166,13881,32112,8016,9240,18040,8137,3523,2802,13931,9744,7656,37349,6720,11413,5997,20917,21912,29448,40265,43743,25773,27864,67947,24008,33032,41937,21057,60540,21164,17694,15048,13302,11269,32581,16700,6835,7164,37656,22267,21387,21428,13774,10708,5200,4475,4438,9468,8579,13328,17322,26792,24179,12388,12477,11864,12490,11707,9222,8824,NA
"18",2015-12-18,6753,18103,39233,56232,26670,17073,13068,4383,3535,17757,2636,5011,8940,11765,13208,18498,17072,6594,8936,3594,9340,9262,4622,32955,2485,14009,12703,18538,23623,18790,10660,35796,22080,36290,32750,9873,38443,28679,28136,22802,25162,178905,43055,23369,29065,32772,43684,34676,25917,14254,34367,8610,9775,19768,9442,3766,3064,15023,10675,8766,45899,7040,12921,7436,22632,22870,32279,50337,46924,27227,30098,78088,24407,35641,45910,23282,70402,22619,18847,16673,14536,12213,35973,17825,7764,8098,38887,22123,22172,23257,15029,11725,5564,4850,4693,9909,9499,15837,18428,28594,26832,13011,13245,12681,13138,12648,10156,9829,NA
"19",2015-12-19,5039,13489,24994,60794,18405,12820,10107,4003,3252,11724,2317,3570,11168,8969,14732,7414,7958,4620,8814,3364,7148,7553,2550,22706,2668,13824,11935,16679,18925,16776,9843,42584,22733,32356,26487,5177,36134,25600,24659,21408,14955,203366,44095,20721,22216,36257,45160,32683,22896,10489,28371,7202,7716,17219,10380,3325,2068,9643,9764,6667,47500,6560,13452,7537,21178,18617,38632,95251,44457,25847,31037,95707,21185,36486,47056,21417,72548,17587,16571,11731,10386,9237,40505,14130,9875,6486,23390,22556,17562,20675,11592,11863,5487,2624,5942,8760,9294,13177,14528,22024,25199,12566,12500,12811,12369,12094,8795,9437,NA
"20",2015-12-20,4991,10711,19486,48530,13947,10128,7979,3511,2679,8386,1961,3204,12278,6784,12101,5356,6323,3906,7170,3819,5994,6556,2379,18703,2437,14540,9270,13298,15703,14439,8487,31851,18846,24901,24912,4304,29793,21807,20423,17455,11335,195946,35764,15164,20699,34406,39937,27510,22699,8947,22803,5985,6322,14995,9088,2830,1597,9618,8356,5628,46461,6253,11963,6653,17607,14723,29570,68366,35546,21038,28449,80928,16678,29590,37025,18335,70353,14704,14189,9934,9264,9464,37333,11727,9730,5469,17202,11106,13931,17252,8653,9551,4155,2058,3530,7259,7966,11708,12577,17555,22063,10061,10318,10329,9744,9968,7446,7659,NA
